Lat,Lon,RSRP,RSSI,SNR,Dist
49.8284631,18.2049575,-89.9,-78.5,0.7,0.784881051425754
49.8284631,18.2049575,-90,-78.3,0.8,0.784881051425754
49.8284631,18.2049575,-83,-71,2.8,0.784881051425754
49.8284631,18.2049575,-81,-72.4,7,0.784881051425754
49.8284631,18.2049575,-81.4,-72.4,6.7,0.784881051425754
49.8284631,18.2049575,-81.8,-72.8,6.9,0.784881051425754
49.8284631,18.2049575,-82.3,-73,5.8,0.784881051425754
49.8284631,18.2049575,-84,-72.1,0.8,0.784881051425754
49.8284631,18.2049575,-82.1,-73,6.1,0.784881051425754
49.8284631,18.2049575,-86.4,-76.1,2.8,0.784881051425754
49.8301206,18.1857286,-54.8,-49,23.3,0.320122781948634
49.8301206,18.1857286,-57.7,-49.7,20.6,0.320122781948634
49.8301206,18.1857286,-54.3,-47.1,24.9,0.320122781948634
49.8301206,18.1857286,-54.8,-47.5,25.4,0.320122781948634
49.8301206,18.1857286,-54,-46.6,25.4,0.320122781948634
49.8301206,18.1857286,-61.2,-54.6,18.7,0.320122781948634
49.8301206,18.1857286,-55.3,-48.4,25.8,0.320122781948634
49.8301206,18.1857286,-61.3,-54.6,21.4,0.320122781948634
49.8301206,18.1857286,-53.6,-46.8,27.8,0.320122781948634
49.8301206,18.1857286,-52.9,-45.8,28.7,0.320122781948634
49.8301206,18.1857286,-66.4,-60.7,27.3,0.320122781948634
49.8436661,18.1239358,-83.2,-76.2,9.9,0.377653194609912
49.8436661,18.1239358,-84.1,-73.7,5.3,0.377653194609912
49.8436661,18.1239358,-73.4,-66.1,12.6,0.377653194609912
49.8436661,18.1239358,-69.5,-62.6,16.3,0.377653194609912
49.8436661,18.1239358,-78.4,-68.8,5,0.377653194609912
49.8436661,18.1239358,-74.2,-65.2,12.6,0.377653194609912
49.8436661,18.1239358,-68.3,-60.9,16.4,0.377653194609912
49.8436661,18.1239358,-81.1,-72.4,8,0.377653194609912
49.8436661,18.1239358,-83.7,-75,6.6,0.377653194609912
49.8436661,18.1239358,-82.9,-74.4,9.7,0.377653194609912
49.8376481,18.1444633,-73.4,-67.4,20,0.875411891564467
49.8376481,18.1444633,-76.6,-67.5,17.6,0.875411891564467
49.8376481,18.1444633,-77.9,-69.2,16.1,0.875411891564467
49.8376481,18.1444633,-78.6,-70,14.6,0.875411891564467
49.8376481,18.1444633,-77.8,-68.5,15.8,0.875411891564467
49.8376481,18.1444633,-77.5,-69.4,17,0.875411891564467
49.8376481,18.1444633,-77.9,-69.5,15.6,0.875411891564467
49.8376481,18.1444633,-80.4,-71.1,14.6,0.875411891564467
49.8376481,18.1444633,-77.8,-69.1,16,0.875411891564467
49.8376481,18.1444633,-80.9,-71.7,11.9,0.875411891564467
49.8237681,18.1676181,-70.6,-58.7,10.2,0.647204743323526
49.8237681,18.1676181,-66.2,-57.3,10.6,0.647204743323526
49.8237681,18.1676181,-66.6,-58.2,10,0.647204743323526
49.8237681,18.1676181,-66.8,-58.4,10,0.647204743323526
49.8237681,18.1676181,-66.7,-58.1,10.9,0.647204743323526
49.8237681,18.1676181,-66.8,-58.4,9.9,0.647204743323526
49.8237681,18.1676181,-67,-58.2,9.8,0.647204743323526
49.8237681,18.1676181,-65.2,-57.5,12.6,0.647204743323526
49.8505578,18.1692169,-80.6,-73.1,20.5,0.534518991193083
49.8505578,18.1692169,-81.2,-70.9,8.1,0.534518991193083
49.8505578,18.1692169,-87.1,-77.4,14.7,0.534518991193083
49.8505578,18.1692169,-85.5,-73.9,11.4,0.534518991193083
49.8505578,18.1692169,-85.2,-76,14.6,0.534518991193083
49.8505578,18.1692169,-80.5,-71.6,20,0.534518991193083
49.8505578,18.1692169,-77.3,-68.6,18.2,0.534518991193083
49.8505578,18.1692169,-77.1,-68,17.8,0.534518991193083
49.8505578,18.1692169,-77.5,-69.2,18.9,0.534518991193083
49.8505578,18.1692169,-79.1,-69.8,16,0.534518991193083
49.8621567,18.14748,-78,-71.2,25.1,2.0946180279421
49.8621567,18.14748,-77.9,-70.3,21.6,2.0946180279421
49.8621567,18.14748,-75.6,-67.9,24.1,2.0946180279421
49.8621567,18.14748,-76.1,-68.9,23.4,2.0946180279421
49.8621567,18.14748,-75,-68,24.1,2.0946180279421
49.8621567,18.14748,-76.1,-68.5,23.4,2.0946180279421
49.8621567,18.14748,-76.4,-69,22.4,2.0946180279421
49.8621567,18.14748,-76.3,-69.2,22.8,2.0946180279421
49.8621567,18.14748,-77.3,-69.3,21.8,2.0946180279421
49.8621567,18.14748,-76,-68.5,22.6,2.0946180279421
49.8524972,18.1832028,-48.5,-42.6,29.2,0.145857308955365
49.8524972,18.1832028,-49.3,-42.4,27.6,0.145857308955365
49.8524972,18.1832028,-47.1,-40.1,25.3,0.145857308955365
49.8524972,18.1832028,-49.8,-42,23.2,0.145857308955365
49.8524972,18.1832028,-50,-42.7,27.6,0.145857308955365
49.8524972,18.1832028,-52.1,-43.8,25.8,0.145857308955365
49.8524972,18.1832028,-49.6,-42.2,27.1,0.145857308955365
49.8524972,18.1832028,-51.3,-42.9,24.8,0.145857308955365
49.8524972,18.1832028,-52.2,-45.2,24.9,0.145857308955365
49.8524972,18.1832028,-52.4,-45.1,26.3,0.145857308955365
49.8118947,18.1985811,-81.1,-74.7,13.2,1.06854781043925
49.8118947,18.1985811,-81.2,-74.1,14.3,1.06854781043925
49.8118947,18.1985811,-81.8,-72.8,6.8,1.06854781043925
49.8118947,18.1985811,-81.5,-72.5,7.2,1.06854781043925
49.8118947,18.1985811,-83.9,-74.3,5.9,1.06854781043925
49.8118947,18.1985811,-84.5,-75.2,6,1.06854781043925
49.8118947,18.1985811,-83.7,-75.2,8.6,1.06854781043925
49.8118947,18.1985811,-84.6,-75.8,6.7,1.06854781043925
49.8118947,18.1985811,-91.3,-83.6,11.3,1.06854781043925
49.8056869,18.1685047,-90.4,-82.4,5.5,0.869116402336118
49.8056869,18.1685047,-90.3,-82.7,6.9,0.869116402336118
49.8056869,18.1685047,-91.1,-81.2,5.2,0.869116402336118
49.8056869,18.1685047,-91.3,-82.3,6.6,0.869116402336118
49.8056869,18.1685047,-91.5,-82.3,5.3,0.869116402336118
49.8056869,18.1685047,-91.5,-82.2,5.7,0.869116402336118
49.8056869,18.1685047,-91.2,-82,6.4,0.869116402336118
49.8056869,18.1685047,-90.7,-83.2,9.6,0.869116402336118
49.8056869,18.1685047,-91.5,-82.6,5.3,0.869116402336118
49.8056869,18.1685047,-89.9,-80.4,3.4,0.869116402336118
49.7876686,18.1626483,-61.5,-55.7,25.5,0.589835746307279
49.7876686,18.1626483,-65.5,-59.1,22.5,0.589835746307279
49.7876686,18.1626483,-61.9,-54.1,21.4,0.589835746307279
49.7876686,18.1626483,-55.2,-49,24.4,0.589835746307279
49.7876686,18.1626483,-55.3,-49,26.2,0.589835746307279
49.7876686,18.1626483,-60.8,-53.8,24.8,0.589835746307279
49.7876686,18.1626483,-69.2,-62.6,23.6,0.589835746307279
49.7876686,18.1626483,-76.1,-69.5,18.3,0.589835746307279
49.7876686,18.1626483,-81.2,-69.7,14.5,0.589835746307279
49.7876686,18.1626483,-76.1,-67.4,20.9,0.589835746307279
49.7963914,18.1966303,-73.5,-65.8,9.2,0.645524179496903
49.7963914,18.1966303,-74.2,-64.9,7.6,0.645524179496903
49.7963914,18.1966303,-75.8,-65.8,9.4,0.645524179496903
49.7963914,18.1966303,-73.9,-65.1,7.3,0.645524179496903
49.7963914,18.1966303,-75.9,-66.3,4.7,0.645524179496903
49.7963914,18.1966303,-71.5,-64.8,16.3,0.645524179496903
49.7963914,18.1966303,-73,-66.5,18.7,0.645524179496903
49.7963914,18.1966303,-68.7,-60.5,10,0.645524179496903
49.7963914,18.1966303,-75.3,-67.7,16.1,0.645524179496903
49.7963914,18.1966303,-77.4,-69.5,11.4,0.645524179496903
49.7097472,18.1561242,-77.8,-72,28.2,3.18055712334001
49.7097472,18.1561242,-83.1,-75.3,19.9,3.18055712334001
49.7097472,18.1561242,-85.8,-79.3,19,3.18055712334001
49.7097472,18.1561242,-80.9,-74.5,24.9,3.18055712334001
49.7097472,18.1561242,-82.1,-75.6,25.1,3.18055712334001
49.7097472,18.1561242,-83.8,-77.3,23.6,3.18055712334001
49.7097472,18.1561242,-84.6,-78,23.2,3.18055712334001
49.7097472,18.1561242,-83.6,-76.9,23.9,3.18055712334001
49.7097472,18.1561242,-87,-80.3,19.1,3.18055712334001
49.7097472,18.1561242,-84,-77.6,21.8,3.18055712334001
49.8308619,18.2850939,-96.7,-87.8,6.9,0.245172862278563
49.8308619,18.2850939,-94,-87.3,12.1,0.245172862278563
49.8308619,18.2850939,-93.9,-85,9.2,0.245172862278563
49.8308619,18.2850939,-91.4,-82.8,9,0.245172862278563
49.8308619,18.2850939,-92.2,-83.5,8.4,0.245172862278563
49.8308619,18.2850939,-93.4,-82.7,6.7,0.245172862278563
49.8308619,18.2850939,-92.7,-83.9,8.7,0.245172862278563
49.8308619,18.2850939,-92.3,-83.6,8.7,0.245172862278563
49.8308619,18.2850939,-90.7,-81.2,8.1,0.245172862278563
49.8308619,18.2850939,-90.6,-82.5,10,0.245172862278563
49.7968794,18.2979436,-65.8,-54.9,17.7,0.465204197251187
49.7968794,18.2979436,-65.2,-57.6,13.6,0.465204197251187
49.7968794,18.2979436,-68.3,-60.5,17.1,0.465204197251187
49.7968794,18.2979436,-68.9,-60.8,16.1,0.465204197251187
49.7968794,18.2979436,-68.8,-60.6,16.7,0.465204197251187
49.7968794,18.2979436,-68.4,-60.3,16.5,0.465204197251187
49.7968794,18.2979436,-68.9,-61,18.6,0.465204197251187
49.7968794,18.2979436,-69.4,-61.2,17.4,0.465204197251187
49.7968794,18.2979436,-68.8,-60.8,17,0.465204197251187
49.7968794,18.2979436,-68.1,-60.8,15.4,0.465204197251187
49.8117742,18.3157806,-92.1,-79.7,-0.5,0.829511371682607
49.8117742,18.3157806,-94.3,-80.9,1.3,0.829511371682607
49.8117742,18.3157806,-91.9,-79.6,0.5,0.829511371682607
49.8117742,18.3157806,-89.7,-76.3,-1.1,0.829511371682607
49.8117742,18.3157806,-84.7,-75,5,0.829511371682607
49.8117742,18.3157806,-89,-77.4,3.2,0.829511371682607
49.8117742,18.3157806,-86.5,-76.8,4.8,0.829511371682607
49.8117742,18.3157806,-86.9,-77.1,7.6,0.829511371682607
49.8117742,18.3157806,-86.8,-76.8,6.4,0.829511371682607
49.8117742,18.3157806,-86.7,-76.8,7.3,0.829511371682607
49.81427,18.2983086,-94.6,-83.8,1.2,0.805240035253606
49.81427,18.2983086,-95,-83.6,1.8,0.805240035253606
49.81427,18.2983086,-92.4,-79.7,0,0.805240035253606
49.81427,18.2983086,-90.2,-78.7,0.9,0.805240035253606
49.81427,18.2983086,-94.7,-78.8,-5.2,0.805240035253606
49.81427,18.2983086,-89.6,-77.5,2.8,0.805240035253606
49.81427,18.2983086,-88,-78.4,6.8,0.805240035253606
49.81427,18.2983086,-89.1,-80.8,6.9,0.805240035253606
49.81427,18.2983086,-84.3,-75.4,6.9,0.805240035253606
49.81427,18.2983086,-85.2,-75.7,4.3,0.805240035253606
49.81427,18.2983086,-88.3,-76.2,5.7,0.805240035253606
49.81427,18.2983086,-82,-72.7,10.8,0.805240035253606
49.81427,18.2983086,-78.6,-69.7,11.8,0.805240035253606
49.81427,18.2983086,-83.9,-73.6,5.8,0.805240035253606
49.8238067,18.3193072,-74.6,-67.2,16.1,0.443348099150462
49.8238067,18.3193072,-79.2,-69.3,11.8,0.443348099150462
49.8238067,18.3193072,-70.5,-61.6,18.1,0.443348099150462
49.8238067,18.3193072,-82.8,-69.8,2.1,0.443348099150462
49.8238067,18.3193072,-70.4,-61.1,20.5,0.443348099150462
49.8238067,18.3193072,-71.6,-64.5,21.4,0.443348099150462
49.8238067,18.3193072,-74.7,-67.6,18.2,0.443348099150462
49.8238067,18.3193072,-70.2,-63.7,26.4,0.443348099150462
49.8238067,18.3193072,-75.1,-68.3,18.8,0.443348099150462
49.8238067,18.3193072,-76.5,-66.4,13.1,0.443348099150462
49.8194197,18.3328533,-87.4,-77.4,3,0.491646166692086
49.8194197,18.3328533,-80.8,-73.1,10.2,0.491646166692086
49.8194197,18.3328533,-82.3,-73.9,12.5,0.491646166692086
49.8194197,18.3328533,-78,-70.1,15.5,0.491646166692086
49.8194197,18.3328533,-84.2,-75.9,13.6,0.491646166692086
49.8194197,18.3328533,-84.8,-76.5,11.5,0.491646166692086
49.8194197,18.3328533,-79.8,-72.1,11.5,0.491646166692086
49.8194197,18.3328533,-80,-72.4,11.1,0.491646166692086
49.8194197,18.3328533,-72.8,-65.3,20.3,0.491646166692086
49.8194197,18.3328533,-72.5,-65.5,19.9,0.491646166692086
49.8398736,18.3268689,-79.4,-72.6,16.5,0.501571142233742
49.8398736,18.3268689,-83.2,-74.5,14.1,0.501571142233742
49.8398736,18.3268689,-77.1,-70.3,18.2,0.501571142233742
49.8398736,18.3268689,-80.3,-70.9,14.3,0.501571142233742
49.8398736,18.3268689,-57.3,-50.6,28.1,0.501571142233742
49.8398736,18.3268689,-72.6,-64.3,21.1,0.501571142233742
49.8398736,18.3268689,-72.2,-65,21.1,0.501571142233742
49.8398736,18.3268689,-69.7,-61.9,22.6,0.501571142233742
49.8398736,18.3268689,-73.6,-66.9,21.1,0.501571142233742
49.8398736,18.3268689,-82.7,-71.1,12.9,0.501571142233742
49.8419342,18.3445969,-56.1,-49.6,23.7,0.111385376901409
49.8419342,18.3445969,-55,-48.2,21.3,0.111385376901409
49.8419342,18.3445969,-60.8,-52.3,12,0.111385376901409
49.8419342,18.3445969,-61.4,-53.3,15.2,0.111385376901409
49.8419342,18.3445969,-62,-54.1,20.1,0.111385376901409
49.8419342,18.3445969,-61.7,-53.8,18.8,0.111385376901409
49.8419342,18.3445969,-62.4,-54.4,17.1,0.111385376901409
49.8419342,18.3445969,-60.8,-53,18.6,0.111385376901409
49.8419342,18.3445969,-60.1,-52.4,15.7,0.111385376901409
49.8419342,18.3445969,-60,-52.4,18.3,0.111385376901409
49.8593231,18.3305192,-71.8,-61.4,9.9,0.211436518147058
49.8593231,18.3305192,-72.5,-61.8,11.2,0.211436518147058
49.8593231,18.3305192,-67.8,-60.8,16.4,0.211436518147058
49.8593231,18.3305192,-67.9,-59.6,14.4,0.211436518147058
49.8593231,18.3305192,-68.6,-61.4,15.7,0.211436518147058
49.8593231,18.3305192,-67.3,-60.3,15.6,0.211436518147058
49.8593231,18.3305192,-66.7,-59.7,18,0.211436518147058
49.8593231,18.3305192,-66.8,-59.7,19.7,0.211436518147058
49.8593231,18.3305192,-67.2,-60.5,20.7,0.211436518147058
49.8593231,18.3305192,-66.3,-59.6,19.3,0.211436518147058
49.8609733,18.3013097,-68.1,-62.3,25.3,0.661851167953453
49.8609733,18.3013097,-71.3,-64.4,20.5,0.661851167953453
49.8609733,18.3013097,-67.9,-61.9,21.4,0.661851167953453
49.8609733,18.3013097,-72,-63,17.3,0.661851167953453
49.8609733,18.3013097,-70.6,-63.7,19.1,0.661851167953453
49.8609733,18.3013097,-75.6,-68.4,13,0.661851167953453
49.8609733,18.3013097,-88.4,-73.4,-1.1,0.661851167953453
49.8609733,18.3013097,-70.3,-63.7,19.7,0.661851167953453
49.8609733,18.3013097,-75.9,-68.5,12.6,0.661851167953453
49.8609733,18.3013097,-73.6,-64.1,15.4,0.661851167953453
49.8609733,18.3013097,-73.1,-65.9,16.2,0.661851167953453
49.8609733,18.3013097,-70.7,-63.3,20.5,0.661851167953453
49.8514022,18.2779025,-71.2,-62.6,6.9,0.266459143284377
49.8514022,18.2779025,-70.6,-62.2,11.1,0.266459143284377
49.8514022,18.2779025,-64.1,-55.6,12.9,0.266459143284377
49.8514022,18.2779025,-64.7,-57.6,13.9,0.266459143284377
49.8514022,18.2779025,-65.2,-57.9,13.1,0.266459143284377
49.8514022,18.2779025,-64,-56.8,12.9,0.266459143284377
49.8514022,18.2779025,-64.7,-57.3,12.9,0.266459143284377
49.8514022,18.2779025,-65.1,-57.5,10.6,0.266459143284377
49.8514022,18.2779025,-65.1,-57.5,10.6,0.266459143284377
49.8514022,18.2779025,-68.3,-59.5,8.2,0.266459143284377
49.8392983,18.2395936,-83.6,-77,13.2,0.510885833274489
49.8392983,18.2395936,-85.1,-77.2,12.9,0.510885833274489
49.8392983,18.2395936,-85.3,-77.3,11.8,0.510885833274489
49.8392983,18.2395936,-87.1,-78.5,11.3,0.510885833274489
49.8392983,18.2395936,-85.9,-77.4,11.9,0.510885833274489
49.8392983,18.2395936,-85.9,-77.7,11,0.510885833274489
49.8392983,18.2395936,-86.3,-77.4,8.9,0.510885833274489
49.8392983,18.2395936,-92.4,-80.9,4.1,0.510885833274489
49.8392983,18.2395936,-94.1,-80.7,1.1,0.510885833274489
49.8392983,18.2395936,-91.4,-80.4,0,0.510885833274489
49.8281631,18.2574406,-52.7,-46.6,23.5,0.110876106892268
49.8281631,18.2574406,-53.3,-45.4,19.4,0.110876106892268
49.8281631,18.2574406,-54.1,-47.2,20.4,0.110876106892268
49.8281631,18.2574406,-57.6,-50.8,20.7,0.110876106892268
49.8281631,18.2574406,-59.4,-52,18.9,0.110876106892268
49.8281631,18.2574406,-58.7,-51.4,21,0.110876106892268
49.8281631,18.2574406,-59.6,-52.3,21.5,0.110876106892268
49.8281631,18.2574406,-58.9,-49.7,22.2,0.110876106892268
49.8281631,18.2574406,-70.2,-61.3,14.9,0.110876106892268
49.8281631,18.2574406,-73.6,-61.3,-3.3,0.110876106892268
49.8105392,18.2434064,-57.1,-47.1,9.1,0.33577453157567
49.8105392,18.2434064,-58,-48.4,20.2,0.33577453157567
49.8105392,18.2434064,-62.2,-52,15.2,0.33577453157567
49.8105392,18.2434064,-67.9,-58.7,14.1,0.33577453157567
49.8105392,18.2434064,-59.1,-51.7,19.7,0.33577453157567
49.8105392,18.2434064,-61.3,-52.7,19.3,0.33577453157567
49.8105392,18.2434064,-61.9,-53.4,17.1,0.33577453157567
49.8105392,18.2434064,-62.7,-51.9,6.9,0.33577453157567
49.8105392,18.2434064,-65.5,-54.6,7,0.33577453157567
49.7834397,18.2558078,-47.7,-41.8,24.9,0.168975522309398
49.7834397,18.2558078,-47.2,-39.8,21.7,0.168975522309398
49.7834397,18.2558078,-49.6,-43.2,27.3,0.168975522309398
49.7834397,18.2558078,-54.7,-47.4,23.9,0.168975522309398
49.7834397,18.2558078,-53.2,-45.9,24.6,0.168975522309398
49.7834397,18.2558078,-56,-47.8,22.1,0.168975522309398
49.7834397,18.2558078,-56,-49.1,20,0.168975522309398
49.7834397,18.2558078,-57.1,-50,18.3,0.168975522309398
49.7834397,18.2558078,-60.8,-53.6,14.5,0.168975522309398
49.7834397,18.2558078,-53,-45.6,17.3,0.168975522309398
49.7877311,18.2261047,-61.3,-50.5,7.9,0.223131510374249
49.7877311,18.2261047,-64.9,-50.8,2.5,0.223131510374249
49.7877311,18.2261047,-59.9,-51.6,16.5,0.223131510374249
49.7877311,18.2261047,-57.8,-50.6,19.9,0.223131510374249
49.7877311,18.2261047,-57,-49.5,18.3,0.223131510374249
49.7877311,18.2261047,-57.7,-50.9,19.9,0.223131510374249
49.7877311,18.2261047,-56.7,-49.9,19.8,0.223131510374249
49.7877311,18.2261047,-59.5,-51.7,16.5,0.223131510374249
49.7877311,18.2261047,-57.8,-50.8,21.3,0.223131510374249
49.7877311,18.2261047,-63.8,-53.7,13.8,0.223131510374249
49.7634506,18.2391472,-91.9,-79.2,1.1,1.15915612835989
49.7634506,18.2391472,-82.5,-74.4,12.8,1.15915612835989
49.7634506,18.2391472,-79.1,-70.5,17.7,1.15915612835989
49.7634506,18.2391472,-79.4,-70.8,16.7,1.15915612835989
49.7634506,18.2391472,-79.5,-70.7,16.2,1.15915612835989
49.7634506,18.2391472,-79.1,-70.7,16.9,1.15915612835989
49.7634506,18.2391472,-79.2,-70.3,17.4,1.15915612835989
49.7634506,18.2391472,-83.7,-73.4,13.8,1.15915612835989
49.7634506,18.2391472,-83.9,-72.9,12.7,1.15915612835989
49.7634506,18.2391472,-82.3,-73.9,11.1,1.15915612835989
49.7735175,18.2829742,-87.9,-76.7,10.2,0.902930654665831
49.7735175,18.2829742,-87.5,-79.6,10.9,0.902930654665831
49.7735175,18.2829742,-87.4,-79.3,9.8,0.902930654665831
49.7735175,18.2829742,-86.9,-78.4,9.2,0.902930654665831
49.7735175,18.2829742,-85,-76.8,9.2,0.902930654665831
49.7735175,18.2829742,-85.4,-77.2,9.9,0.902930654665831
49.7735175,18.2829742,-84.6,-76.5,10.8,0.902930654665831
49.7735175,18.2829742,-85.8,-75.7,4.7,0.902930654665831
49.7735175,18.2829742,-87.3,-77.5,8.6,0.902930654665831
49.7750211,18.2669347,-61.4,-54.1,8.6,0.731007269889051
49.7750211,18.2669347,-64.2,-55.3,7.6,0.731007269889051
49.7750211,18.2669347,-65.1,-54.5,-1.2,0.731007269889051
49.7750211,18.2669347,-67.4,-57.6,4.4,0.731007269889051
49.7750211,18.2669347,-66.9,-59.8,11.1,0.731007269889051
49.7750211,18.2669347,-74.9,-60.6,-0.3,0.731007269889051
49.7750211,18.2669347,-79.8,-69.5,8.9,0.731007269889051
49.7750211,18.2669347,-66,-56.6,6.3,0.731007269889051
49.7750211,18.2669347,-70,-63.7,17.6,0.731007269889051
49.7750211,18.2669347,-79.2,-68.9,2.6,0.731007269889051
